epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,392.699,2.36321,0.75209,1.45082,0.60593,0.37904,0.415,0.15819,2.55077,0.96064,1.525,0.0670251,0.000333079,0.000333079
2,740.565,2.21075,0.65567,1.36865,0.57535,0.38818,0.43295,0.18285,2.34658,0.703,1.3971,0.0340218,0.000663114,0.000663114
3,1079.75,2.10032,0.60332,1.31762,0.63707,0.40993,0.48856,0.22899,2.19364,0.66618,1.3407,0.00101524,0.000989849,0.000989849
4,1415.69,1.98724,0.55579,1.26944,0.64859,0.43154,0.51649,0.23954,2.16619,0.67418,1.32473,0.00098515,0.00098515,0.00098515
5,1752.04,1.88955,0.52216,1.239,0.67554,0.46919,0.55432,0.28064,2.02602,0.62598,1.2736,0.0009802,0.0009802,0.0009802
6,2088.25,1.84903,0.50704,1.22498,0.70077,0.51492,0.60029,0.30075,2.00955,0.53081,1.27542,0.00097525,0.00097525,0.00097525
7,2423.63,1.78992,0.48606,1.20112,0.71195,0.51141,0.60102,0.30768,1.97219,0.51859,1.25741,0.0009703,0.0009703,0.0009703
8,2758.54,1.75107,0.4707,1.19019,0.68815,0.5244,0.60462,0.31431,1.91282,0.51783,1.23736,0.00096535,0.00096535,0.00096535
9,3093.79,1.71751,0.45868,1.1733,0.72852,0.54628,0.6288,0.32575,1.90057,0.48945,1.23402,0.0009604,0.0009604,0.0009604
10,3430.9,1.69644,0.45194,1.16416,0.75022,0.57362,0.64964,0.34256,1.85686,0.4765,1.217,0.00095545,0.00095545,0.00095545
11,3766.67,1.66074,0.43649,1.14915,0.7472,0.57418,0.65326,0.34559,1.84872,0.47634,1.21264,0.0009505,0.0009505,0.0009505
12,4102.45,1.64322,0.42895,1.14824,0.75346,0.58882,0.66533,0.35051,1.83398,0.46126,1.20617,0.00094555,0.00094555,0.00094555
13,4438.59,1.6224,0.42237,1.14305,0.74368,0.58784,0.66704,0.35547,1.80267,0.45332,1.1992,0.0009406,0.0009406,0.0009406
14,4775.18,1.59398,0.41123,1.12936,0.75235,0.59607,0.67297,0.36421,1.79001,0.44139,1.19542,0.00093565,0.00093565,0.00093565
15,5111.39,1.58276,0.40776,1.12415,0.77919,0.60272,0.69087,0.37875,1.76115,0.43672,1.17849,0.0009307,0.0009307,0.0009307
16,5447.22,1.55938,0.39999,1.11645,0.77971,0.61071,0.6981,0.37928,1.77101,0.43018,1.18266,0.00092575,0.00092575,0.00092575
17,5783.17,1.53775,0.3908,1.10813,0.79983,0.61754,0.70247,0.38437,1.74505,0.42073,1.17998,0.0009208,0.0009208,0.0009208
18,6118.72,1.52856,0.38339,1.10506,0.80704,0.63214,0.72069,0.39717,1.73709,0.41023,1.18063,0.00091585,0.00091585,0.00091585
19,6455.08,1.50095,0.3717,1.09334,0.76336,0.64858,0.6675,0.35806,1.71731,0.44144,1.17323,0.0009109,0.0009109,0.0009109
20,6791.23,1.47402,0.36063,1.08278,0.83092,0.65853,0.74716,0.42065,1.68596,0.38805,1.15555,0.00090595,0.00090595,0.00090595
21,7127.78,1.47115,0.35656,1.0836,0.83542,0.67108,0.75916,0.42496,1.68842,0.38372,1.15924,0.000901,0.000901,0.000901
22,7464.13,1.46253,0.35255,1.08126,0.84466,0.66537,0.76544,0.43336,1.66987,0.37838,1.15677,0.00089605,0.00089605,0.00089605
23,7801.12,1.44029,0.34485,1.07313,0.84095,0.68047,0.77112,0.43703,1.67232,0.37237,1.15837,0.0008911,0.0008911,0.0008911
24,8137.85,1.43534,0.34022,1.06769,0.8501,0.68159,0.77916,0.44413,1.66529,0.36706,1.15791,0.00088615,0.00088615,0.00088615
25,8474.6,1.40983,0.33225,1.06123,0.85047,0.68712,0.78556,0.44533,1.66972,0.36051,1.15922,0.0008812,0.0008812,0.0008812
26,8811.01,1.40035,0.32691,1.0554,0.85837,0.69632,0.78881,0.45161,1.6659,0.35395,1.15969,0.00087625,0.00087625,0.00087625
27,9150.11,1.37941,0.31755,1.0495,0.84928,0.70301,0.79354,0.45489,1.65987,0.34988,1.16312,0.0008713,0.0008713,0.0008713
28,9485.49,1.36857,0.31345,1.04593,0.84979,0.70524,0.79696,0.45775,1.64792,0.34765,1.16026,0.00086635,0.00086635,0.00086635
29,9821.27,1.3613,0.31009,1.04257,0.85983,0.71152,0.80505,0.46342,1.64065,0.34052,1.15725,0.0008614,0.0008614,0.0008614
30,10157.4,1.3419,0.30322,1.03557,0.85855,0.71766,0.80554,0.46648,1.6335,0.33723,1.15523,0.00085645,0.00085645,0.00085645
31,10494,1.33016,0.29955,1.03192,0.86299,0.71863,0.80815,0.46945,1.62555,0.33424,1.15069,0.0008515,0.0008515,0.0008515
32,10831.2,1.32479,0.29959,1.02909,0.86752,0.715,0.80945,0.47077,1.6222,0.33376,1.15217,0.00084655,0.00084655,0.00084655
33,11167.3,1.30813,0.29166,1.02331,0.86259,0.7265,0.81409,0.4752,1.61452,0.32927,1.14948,0.0008416,0.0008416,0.0008416
34,11503.9,1.29441,0.28821,1.01955,0.86866,0.72337,0.81316,0.47715,1.61044,0.32805,1.14757,0.00083665,0.00083665,0.00083665
35,11840.8,1.28087,0.2841,1.01647,0.87058,0.72755,0.81548,0.47799,1.6078,0.32613,1.14905,0.0008317,0.0008317,0.0008317
36,12177.1,1.26969,0.28004,1.01144,0.87436,0.72967,0.81779,0.48079,1.60446,0.32404,1.15031,0.00082675,0.00082675,0.00082675
37,12514.7,1.26424,0.2786,1.00511,0.88253,0.72594,0.81858,0.48198,1.60596,0.32264,1.15275,0.0008218,0.0008218,0.0008218
38,12851.2,1.25036,0.27422,1.00492,0.87925,0.73102,0.821,0.48344,1.60701,0.31987,1.15426,0.00081685,0.00081685,0.00081685
39,13188.5,1.23918,0.27132,0.9984,0.8825,0.72884,0.82084,0.48376,1.60882,0.31747,1.15585,0.0008119,0.0008119,0.0008119
40,13525.9,1.22612,0.26653,0.99462,0.87892,0.73299,0.82243,0.48538,1.60979,0.31515,1.15874,0.00080695,0.00080695,0.00080695
41,13864.3,1.2096,0.26262,0.98962,0.87871,0.73339,0.82355,0.48634,1.60756,0.31366,1.1582,0.000802,0.000802,0.000802
42,14200.7,1.20207,0.25957,0.98785,0.88063,0.73548,0.82608,0.48839,1.60367,0.31217,1.15805,0.00079705,0.00079705,0.00079705
43,14537,1.19761,0.25796,0.98317,0.88171,0.73522,0.82636,0.48973,1.59935,0.31052,1.15686,0.0007921,0.0007921,0.0007921
44,14872.8,1.18751,0.25372,0.97986,0.88196,0.73652,0.82615,0.49133,1.59801,0.30896,1.15754,0.00078715,0.00078715,0.00078715
45,15209.9,1.18164,0.25364,0.97696,0.8792,0.73661,0.82565,0.49163,1.59472,0.3074,1.15659,0.0007822,0.0007822,0.0007822
46,15546.4,1.16328,0.24927,0.97449,0.8823,0.73791,0.82885,0.49367,1.59279,0.30673,1.15718,0.00077725,0.00077725,0.00077725
47,15882.6,1.15606,0.24601,0.97026,0.88061,0.74038,0.82935,0.49396,1.59155,0.30572,1.15758,0.0007723,0.0007723,0.0007723
48,16218.7,1.14569,0.24352,0.96553,0.88327,0.73954,0.83001,0.49461,1.59034,0.3046,1.15754,0.00076735,0.00076735,0.00076735
49,16554.8,1.14272,0.24396,0.96773,0.88415,0.74275,0.83077,0.49543,1.58847,0.30365,1.15798,0.0007624,0.0007624,0.0007624
50,16890.9,1.13295,0.24007,0.96075,0.88216,0.74414,0.83075,0.49607,1.58817,0.30272,1.15877,0.00075745,0.00075745,0.00075745
51,17226.3,1.12007,0.23671,0.95744,0.88186,0.74512,0.83195,0.49669,1.5859,0.30163,1.1585,0.0007525,0.0007525,0.0007525
52,17562.8,1.11819,0.23637,0.95874,0.87995,0.74624,0.832,0.49762,1.58542,0.30106,1.15925,0.00074755,0.00074755,0.00074755
53,17899.3,1.11014,0.23402,0.9538,0.88404,0.74516,0.83323,0.49808,1.58492,0.30045,1.16021,0.0007426,0.0007426,0.0007426
