epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.85,1.30549,1.483,1.11282,0.67733,0.64564,0.70838,0.43413,1.41186,1.44361,1.37338,0.0671864,0.00033145,0.00033145
2,209.212,1.26865,1.02984,1.11591,0.80623,0.75223,0.83834,0.54361,1.17763,1.24481,1.19022,0.0341832,0.000661493,0.000661493
3,298.583,1.23027,0.92702,1.09535,0.798,0.73418,0.79246,0.49864,1.2801,1.15135,1.26485,0.00117656,0.000988235,0.000988235
4,387.991,1.23654,0.8861,1.10431,0.84204,0.7624,0.84066,0.54402,1.2594,2.23247,1.2377,0.00098515,0.00098515,0.00098515
5,477.172,1.19944,0.83116,1.0881,0.89346,0.85318,0.90963,0.58745,1.14191,0.7794,1.16292,0.0009802,0.0009802,0.0009802
6,566.503,1.17056,0.76363,1.07259,0.89506,0.83867,0.89734,0.58227,1.19573,0.91294,1.1852,0.00097525,0.00097525,0.00097525
7,654.944,1.14932,0.7281,1.05886,0.92166,0.88713,0.92752,0.61709,1.109,0.64163,1.1442,0.0009703,0.0009703,0.0009703
8,744.255,1.15138,0.71902,1.05928,0.91767,0.87892,0.9241,0.61718,1.11889,0.71689,1.13776,0.00096535,0.00096535,0.00096535
9,833.357,1.13133,0.68545,1.05564,0.92746,0.89535,0.93069,0.62279,1.11477,0.66564,1.13383,0.0009604,0.0009604,0.0009604
10,922.81,1.12272,0.66773,1.05409,0.93101,0.89557,0.93414,0.62122,1.09911,0.63208,1.12644,0.00095545,0.00095545,0.00095545
11,1011.13,1.11142,0.65208,1.0485,0.9179,0.88271,0.92702,0.61602,1.13052,0.63437,1.1341,0.0009505,0.0009505,0.0009505
12,1099.84,1.10336,0.63698,1.03812,0.93956,0.91484,0.94287,0.63948,1.075,0.55455,1.12435,0.00094555,0.00094555,0.00094555
13,1188.96,1.08165,0.61269,1.03414,0.93634,0.90443,0.93919,0.63504,1.07407,0.55843,1.11416,0.0009406,0.0009406,0.0009406
14,1277.6,1.08925,0.61774,1.03542,0.94299,0.9204,0.94575,0.64444,1.07679,0.5668,1.11722,0.00093565,0.00093565,0.00093565
15,1366.62,1.08247,0.60564,1.03411,0.93969,0.91598,0.94072,0.64148,1.07428,0.56616,1.10656,0.0009307,0.0009307,0.0009307
16,1455.4,1.08065,0.59405,1.03335,0.94755,0.91769,0.94269,0.64131,1.06622,0.55973,1.10913,0.00092575,0.00092575,0.00092575
17,1543.83,1.07538,0.58919,1.03387,0.93617,0.91745,0.94234,0.64536,1.06102,0.5562,1.10906,0.0009208,0.0009208,0.0009208
18,1632.93,1.07013,0.57289,1.02904,0.93904,0.91348,0.94443,0.64587,1.05722,0.53976,1.10705,0.00091585,0.00091585,0.00091585
19,1722.06,1.05594,0.57045,1.02145,0.93284,0.91078,0.93926,0.63877,1.07586,0.53827,1.11488,0.0009109,0.0009109,0.0009109
20,1810.66,1.07436,0.57298,1.0285,0.94507,0.92966,0.94837,0.65299,1.06031,0.50825,1.10048,0.00090595,0.00090595,0.00090595
21,1899.74,1.04382,0.55034,1.01774,0.94702,0.92475,0.94457,0.64977,1.04416,0.51403,1.09535,0.000901,0.000901,0.000901
22,1988.29,1.05322,0.54965,1.0214,0.9435,0.92777,0.94689,0.6541,1.03893,0.51128,1.09432,0.00089605,0.00089605,0.00089605
23,2077.32,1.04431,0.54837,1.01595,0.951,0.93,0.94908,0.65722,1.03249,0.48271,1.09089,0.0008911,0.0008911,0.0008911
24,2166.78,1.02846,0.54059,1.0113,0.95182,0.92536,0.94814,0.65147,1.04325,0.4955,1.09752,0.00088615,0.00088615,0.00088615
25,2255.08,1.03339,0.53862,1.01392,0.95874,0.93234,0.95195,0.66533,1.03202,0.46781,1.08185,0.0008812,0.0008812,0.0008812
26,2344.29,1.03727,0.52918,1.00554,0.95412,0.92592,0.95114,0.66234,1.03715,0.49259,1.08934,0.00087625,0.00087625,0.00087625
27,2433.28,1.01821,0.52099,1.00922,0.95557,0.92971,0.94921,0.66211,1.03517,0.4816,1.08566,0.0008713,0.0008713,0.0008713
28,2521.84,1.01914,0.51782,1.00403,0.95054,0.93347,0.95106,0.66195,1.03395,0.49022,1.08795,0.00086635,0.00086635,0.00086635
29,2610.08,1.02339,0.52237,1.00565,0.95501,0.93514,0.95226,0.6661,1.02442,0.48971,1.08317,0.0008614,0.0008614,0.0008614
30,2699.2,1.02201,0.52435,1.00627,0.95796,0.93136,0.95112,0.66071,1.03976,0.47584,1.08505,0.00085645,0.00085645,0.00085645
31,2787.35,1.01419,0.51029,1.00285,0.95887,0.93673,0.94873,0.65865,1.06298,0.45722,1.0979,0.0008515,0.0008515,0.0008515
32,2875.78,1.00461,0.5037,1.00073,0.95932,0.93929,0.95306,0.6681,1.01743,0.44743,1.08196,0.00084655,0.00084655,0.00084655
33,2964.68,1.00639,0.50878,1.00431,0.95357,0.93732,0.94905,0.65991,1.041,0.4693,1.08982,0.0008416,0.0008416,0.0008416
34,3053.04,1.00518,0.49883,0.99894,0.96156,0.94005,0.95342,0.67506,1.00341,0.44302,1.06755,0.00083665,0.00083665,0.00083665
35,3143.14,1.00872,0.49823,0.99856,0.96277,0.93883,0.95374,0.66982,1.00816,0.44085,1.07512,0.0008317,0.0008317,0.0008317
36,3231.49,1.00673,0.49718,0.9983,0.96045,0.93755,0.95205,0.66789,1.02637,0.44514,1.08161,0.00082675,0.00082675,0.00082675
37,3319.59,0.99714,0.49399,0.99504,0.95987,0.93706,0.95208,0.6675,1.01586,0.45807,1.0805,0.0008218,0.0008218,0.0008218
38,3408.01,0.98822,0.4892,0.99301,0.96461,0.94124,0.95394,0.66844,1.00987,0.43828,1.0724,0.00081685,0.00081685,0.00081685
39,3496.02,0.99739,0.48902,0.99762,0.95935,0.9419,0.95551,0.67672,1.001,0.43905,1.06693,0.0008119,0.0008119,0.0008119
40,3585,0.98905,0.48491,0.99699,0.96131,0.94474,0.95818,0.68118,0.99969,0.42513,1.06717,0.00080695,0.00080695,0.00080695
41,3673.88,0.98748,0.48504,0.99678,0.96176,0.94162,0.95591,0.67627,1.01088,0.44094,1.06911,0.000802,0.000802,0.000802
42,3762.28,0.98126,0.48592,0.99197,0.96275,0.94486,0.95805,0.67807,1.01691,0.42993,1.07549,0.00079705,0.00079705,0.00079705
43,3850.31,0.98089,0.47811,0.9846,0.96266,0.94499,0.95686,0.68145,0.9974,0.4266,1.06584,0.0007921,0.0007921,0.0007921
44,3939.28,0.97955,0.47073,0.98954,0.96,0.94471,0.957,0.67893,1.01153,0.43033,1.07185,0.00078715,0.00078715,0.00078715
45,4027.5,0.97944,0.47888,0.99347,0.95952,0.94627,0.95939,0.67934,1.00442,0.42758,1.0683,0.0007822,0.0007822,0.0007822
46,4115.85,0.97301,0.46921,0.9911,0.9634,0.94549,0.95767,0.68349,0.99951,0.41655,1.06649,0.00077725,0.00077725,0.00077725
47,4204.79,0.96552,0.46744,0.98386,0.96157,0.94341,0.95862,0.68025,1.00419,0.42729,1.07026,0.0007723,0.0007723,0.0007723
48,4293.21,0.96334,0.46952,0.98391,0.96254,0.94234,0.95786,0.68059,1.00409,0.42408,1.06371,0.00076735,0.00076735,0.00076735
49,4381.46,0.95934,0.4639,0.98229,0.96502,0.94557,0.95781,0.67983,0.98871,0.42652,1.06025,0.0007624,0.0007624,0.0007624
50,4469.85,0.96351,0.45739,0.98467,0.96648,0.94546,0.95876,0.6823,0.99333,0.41625,1.06129,0.00075745,0.00075745,0.00075745
51,4557.94,0.95778,0.46117,0.98276,0.9682,0.94415,0.95888,0.68409,0.99939,0.42735,1.06535,0.0007525,0.0007525,0.0007525
52,4647.57,0.95991,0.4505,0.98091,0.95712,0.94545,0.95419,0.67308,0.99854,0.42261,1.069,0.00074755,0.00074755,0.00074755
53,4735.67,0.95856,0.4571,0.97937,0.96765,0.9461,0.95901,0.68255,0.99996,0.41079,1.06442,0.0007426,0.0007426,0.0007426
54,4824.09,0.95648,0.45483,0.97901,0.96275,0.9472,0.9572,0.68491,0.99354,0.40763,1.06067,0.00073765,0.00073765,0.00073765
55,4912.83,0.95767,0.45742,0.98089,0.96471,0.94581,0.95744,0.68517,0.98977,0.41395,1.06091,0.0007327,0.0007327,0.0007327
56,5003.19,0.94992,0.44839,0.97778,0.96488,0.94881,0.95765,0.67846,1.00383,0.41143,1.06404,0.00072775,0.00072775,0.00072775
57,5091.28,0.94074,0.44409,0.97353,0.96443,0.94497,0.95897,0.68474,1.00321,0.40344,1.06459,0.0007228,0.0007228,0.0007228
58,5179.63,0.93226,0.4386,0.97639,0.96687,0.94517,0.95845,0.68505,0.98936,0.41463,1.05858,0.00071785,0.00071785,0.00071785
59,5268.09,0.93974,0.44322,0.97289,0.96542,0.94771,0.96005,0.68779,0.98747,0.40443,1.05735,0.0007129,0.0007129,0.0007129
60,5357.26,0.93477,0.43673,0.97475,0.97055,0.94531,0.96089,0.68649,0.98626,0.40347,1.06047,0.00070795,0.00070795,0.00070795
61,5445.67,0.93294,0.43754,0.97244,0.96868,0.94965,0.96134,0.68316,0.99034,0.39897,1.05952,0.000703,0.000703,0.000703
62,5534.01,0.93574,0.43861,0.97396,0.96776,0.94875,0.95769,0.68597,0.98904,0.40286,1.05883,0.00069805,0.00069805,0.00069805
63,5622.29,0.92721,0.43694,0.97191,0.96762,0.95018,0.96135,0.68747,0.98725,0.40418,1.05882,0.0006931,0.0006931,0.0006931
64,5710.73,0.93301,0.43511,0.96721,0.968,0.9467,0.95956,0.68819,0.98603,0.40024,1.05793,0.00068815,0.00068815,0.00068815
65,5799.77,0.92118,0.42814,0.96377,0.96688,0.94966,0.95958,0.6909,0.98147,0.39766,1.05721,0.0006832,0.0006832,0.0006832
66,5889.11,0.91355,0.42223,0.9618,0.96699,0.9486,0.95975,0.68908,0.98666,0.39375,1.05644,0.00067825,0.00067825,0.00067825
67,5977.36,0.91281,0.42438,0.96647,0.96888,0.9521,0.96128,0.69108,0.98205,0.38964,1.05331,0.0006733,0.0006733,0.0006733
68,6066.61,0.91167,0.42278,0.96634,0.97047,0.94925,0.96095,0.69162,0.97834,0.38516,1.05384,0.00066835,0.00066835,0.00066835
69,6155.63,0.91028,0.42498,0.96303,0.97092,0.94832,0.9614,0.69035,0.98057,0.3872,1.05561,0.0006634,0.0006634,0.0006634
70,6244.04,0.90289,0.4167,0.96138,0.96853,0.94893,0.96206,0.69229,0.98098,0.38507,1.05752,0.00065845,0.00065845,0.00065845
71,6333.03,0.90526,0.41812,0.96,0.97104,0.94949,0.96155,0.69396,0.9776,0.38647,1.05237,0.0006535,0.0006535,0.0006535
72,6422.31,0.90295,0.41569,0.95625,0.97157,0.95012,0.964,0.6967,0.97397,0.37812,1.04716,0.00064855,0.00064855,0.00064855
73,6511.21,0.90716,0.41886,0.95976,0.9696,0.94875,0.96235,0.6896,0.98444,0.3812,1.05387,0.0006436,0.0006436,0.0006436
74,6599.76,0.9035,0.41695,0.96343,0.96805,0.95315,0.96046,0.68815,0.98507,0.38122,1.05519,0.00063865,0.00063865,0.00063865
75,6688.27,0.90317,0.41184,0.96103,0.97042,0.95209,0.96294,0.69364,0.97726,0.37691,1.05146,0.0006337,0.0006337,0.0006337
